_ws.col.No.,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length
1,0.000000,0x0000,Broadcast,ZigBee,47
2,10.765625,,Broadcast,IEEE 802.15.4,10
3,11.015625,0x0000,,ZigBee,28
4,11.765625,,Broadcast,IEEE 802.15.4,10
5,12.015625,0x0000,,ZigBee,28
6,12.765625,,Broadcast,IEEE 802.15.4,10
7,13.015625,0x0000,,ZigBee,28
8,13.765625,,Broadcast,IEEE 802.15.4,10
9,14.015625,0x0000,,ZigBee,28
10,14.765625,,Broadcast,IEEE 802.15.4,10
11,15.015625,0x0000,,ZigBee,28
12,15.765625,,Broadcast,IEEE 802.15.4,10
13,16.015625,0x0000,,ZigBee,28
14,16.765625,0x0000,Broadcast,ZigBee,47
15,17.015625,00:1c:da:ff:ff:00:20:07,0x0000,IEEE 802.15.4,21
16,17.265625,,,IEEE 802.15.4,5
17,17.515625,00:1c:da:ff:ff:00:20:07,0x0000,IEEE 802.15.4,18
18,17.765625,,,IEEE 802.15.4,5
19,18.015625,00:0d:6f:00:00:0d:c5:58,00:1c:da:ff:ff:00:20:07,IEEE 802.15.4,27
20,18.265625,,,IEEE 802.15.4,5
21,18.515625,0x0000,0x2c4d,ZigBee,65
22,18.765625,,,IEEE 802.15.4,5
23,19.015625,0x2c4d,Broadcast,ZigBee,57
24,19.265625,0x2c4d,Broadcast,ZigBee,50
25,19.515625,0x2c4d,Broadcast,ZigBee,57
26,28.281250,0x2c4d,,ZigBee,28
27,29.250000,0x2c4d,,ZigBee,28
28,31.031250,0x2c4d,Broadcast,ZigBee,59
29,31.281250,0x0000,0x2c4d,ZigBee,77
30,31.531250,,,IEEE 802.15.4,5
31,31.781250,0x2c4d,0x0000,ZigBee,60
32,32.031250,,,IEEE 802.15.4,5
33,32.281250,0x0000,0x2c4d,ZigBee,102
34,32.531250,,,IEEE 802.15.4,5
35,32.781250,0x2c4d,0xdb18,ZigBee,73
36,33.031250,0xdb18,Broadcast,ZigBee,57
37,33.281250,0xdb18,Broadcast,ZigBee,57
38,33.531250,0x0000,0x2c4d,ZigBee,77
39,33.781250,,,IEEE 802.15.4,5
40,34.031250,0x0000,0x2c4d,ZigBee,77
41,34.281250,,,IEEE 802.15.4,5
42,34.531250,0x2c4d,Broadcast,ZigBee,53
43,34.781250,0x0000,Broadcast,ZigBee,50
44,44.031250,0x0000,Broadcast,ZigBee,51
45,44.281250,0x0000,Broadcast,ZigBee,51
46,44.531250,0x0000,Broadcast,ZigBee,51
47,44.781250,0x0000,Broadcast,ZigBee,56
48,45.031250,0x0000,Broadcast,ZigBee,56
49,45.281250,0x0000,Broadcast,ZigBee,51
50,45.531250,0x0000,Broadcast,ZigBee,56
51,45.781250,0x0000,Broadcast,ZigBee,51
52,46.031250,0x0000,Broadcast,ZigBee,56
53,47.781250,0x2c4d,Broadcast,ZigBee,53
54,49.031250,0x0000,Broadcast,ZigBee,50
