"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","0x0000","Broadcast","ZigBee","47","Command, Dst: Broadcast, Src: 0x0000"
"2","10.765625","","Broadcast","IEEE 802.15.4","10","Beacon Request"
"3","11.015625","0x0000","","ZigBee","28","Beacon, Src: 0x0000, EPID: Miniware_6f:73:6e:65:73"
"4","11.765625","","Broadcast","IEEE 802.15.4","10","Beacon Request"
"5","12.015625","0x0000","","ZigBee","28","Beacon, Src: 0x0000, EPID: Miniware_6f:73:6e:65:73"
"6","12.765625","","Broadcast","IEEE 802.15.4","10","Beacon Request"
"7","13.015625","0x0000","","ZigBee","28","Beacon, Src: 0x0000, EPID: Miniware_6f:73:6e:65:73"
"8","13.765625","","Broadcast","IEEE 802.15.4","10","Beacon Request"
"9","14.015625","0x0000","","ZigBee","28","Beacon, Src: 0x0000, EPID: Miniware_6f:73:6e:65:73"
"10","14.765625","","Broadcast","IEEE 802.15.4","10","Beacon Request"
"11","15.015625","0x0000","","ZigBee","28","Beacon, Src: 0x0000, EPID: Miniware_6f:73:6e:65:73"
"12","15.765625","","Broadcast","IEEE 802.15.4","10","Beacon Request"
"13","16.015625","0x0000","","ZigBee","28","Beacon, Src: 0x0000, EPID: Miniware_6f:73:6e:65:73"
"14","16.765625","0x0000","Broadcast","ZigBee","47","Command, Dst: Broadcast, Src: 0x0000"
"15","17.015625","00:1c:da:ff:ff:00:20:07","0x0000","IEEE 802.15.4","21","Association Request, FFD"
"16","17.265625","","","IEEE 802.15.4","5","Ack"
"17","17.515625","00:1c:da:ff:ff:00:20:07","0x0000","IEEE 802.15.4","18","Data Request"
"18","17.765625","","","IEEE 802.15.4","5","Ack"
"19","18.015625","00:0d:6f:00:00:0d:c5:58","00:1c:da:ff:ff:00:20:07","IEEE 802.15.4","27","Association Response, PAN: 0x01ff Addr: 0x2c4d"
"20","18.265625","","","IEEE 802.15.4","5","Ack"
"21","18.515625","0x0000","0x2c4d","ZigBee","65","APS: Command"
"22","18.765625","","","IEEE 802.15.4","5","Ack"
"23","19.015625","0x2c4d","Broadcast","ZigBee","57","Data, Dst: Broadcast, Src: 0x2c4d"
"24","19.265625","0x2c4d","Broadcast","ZigBee","50","Command, Dst: Broadcast, Src: 0x2c4d"
"25","19.515625","0x2c4d","Broadcast","ZigBee","57","Data, Dst: Broadcast, Src: 0x2c4d"
"26","28.281250","0x2c4d","","ZigBee","28","Beacon, Src: 0x2c4d, EPID: Miniware_6f:73:6e:65:73"
"27","29.250000","0x2c4d","","ZigBee","28","Beacon, Src: 0x2c4d, EPID: Miniware_6f:73:6e:65:73"
"28","31.031250","0x2c4d","Broadcast","ZigBee","59","Command, Dst: Broadcast, Src: 0x2c4d"
"29","31.281250","0x0000","0x2c4d","ZigBee","77","Command, Dst: 0x2c4d, Src: 0x0000"
"30","31.531250","","","IEEE 802.15.4","5","Ack"
"31","31.781250","0x2c4d","0x0000","ZigBee","60","Data, Dst: 0x0000, Src: 0x2c4d"
"32","32.031250","","","IEEE 802.15.4","5","Ack"
"33","32.281250","0x0000","0x2c4d","ZigBee","102","Data, Dst: 0x2c4d, Src: 0x0000"
"34","32.531250","","","IEEE 802.15.4","5","Ack"
"35","32.781250","0x2c4d","0xdb18","ZigBee","73","APS: Command"
"36","33.031250","0xdb18","Broadcast","ZigBee","57","Data, Dst: Broadcast, Src: 0xdb18"
"37","33.281250","0xdb18","Broadcast","ZigBee","57","Data, Dst: Broadcast, Src: 0xdb18"
"38","33.531250","0x0000","0x2c4d","ZigBee","77","Command, Dst: 0x2c4d, Src: 0x0000"
"39","33.781250","","","IEEE 802.15.4","5","Ack"
"40","34.031250","0x0000","0x2c4d","ZigBee","77","Command, Dst: 0x2c4d, Src: 0x0000"
"41","34.281250","","","IEEE 802.15.4","5","Ack"
"42","34.531250","0x2c4d","Broadcast","ZigBee","53","Command, Dst: Broadcast, Src: 0x2c4d"
"43","34.781250","0x0000","Broadcast","ZigBee","50","Command, Dst: Broadcast, Src: 0x0000"
"44","44.031250","0x0000","Broadcast","ZigBee","51","Command, Dst: Broadcast, Src: 0x0000"
"45","44.281250","0x0000","Broadcast","ZigBee","51","Command, Dst: Broadcast, Src: 0x0000"
"46","44.531250","0x0000","Broadcast","ZigBee","51","Command, Dst: Broadcast, Src: 0x0000"
"47","44.781250","0x0000","Broadcast","ZigBee","56","Data, Dst: Broadcast, Src: 0x0000"
"48","45.031250","0x0000","Broadcast","ZigBee","56","Data, Dst: Broadcast, Src: 0x0000"
"49","45.281250","0x0000","Broadcast","ZigBee","51","Command, Dst: Broadcast, Src: 0x0000"
"50","45.531250","0x0000","Broadcast","ZigBee","56","Data, Dst: Broadcast, Src: 0x0000"
"51","45.781250","0x0000","Broadcast","ZigBee","51","Command, Dst: Broadcast, Src: 0x0000"
"52","46.031250","0x0000","Broadcast","ZigBee","56","Data, Dst: Broadcast, Src: 0x0000"
"53","47.781250","0x2c4d","Broadcast","ZigBee","53","Command, Dst: Broadcast, Src: 0x2c4d"
"54","49.031250","0x0000","Broadcast","ZigBee","50","Command, Dst: Broadcast, Src: 0x0000"
